text,font,size,spacing,length,word_count,is_bold,ends_with_punct,is_upper,is_title_case,starts_with_number,relative_y,line_number,page,pred
Ontario’s Libraries,Arial-Black,15.960000038146973,0.0,19,2,0,0,0,0,0,0.0915189608178957,0,0,Paragraph
Working T,Arial-Black,15.960000038146973,22.55145263671875,9,2,0,0,0,1,0,0.1199930171773891,1,0,Paragraph
ogether,Arial-Black,15.960000038146973,0.0,7,1,0,0,0,0,0,0.1199930171773891,2,0,Paragraph
RFP: R,Arial-Black,32.040000915527344,62.53883361816406,6,2,0,0,1,0,0,0.1989561909376972,3,0,Paragraph
RFP: R,Arial-Black,32.040000915527344,-0.25634765625,6,2,0,0,1,0,0,0.1986325196545533,4,0,Paragraph
RFP: R,Arial-Black,32.040000915527344,0.25634765625,6,2,0,0,1,0,0,0.1989561909376972,5,0,Paragraph
RFP: Re,Arial-Black,32.040000915527344,-0.25634765625,7,2,0,0,0,0,0,0.1986325196545533,6,0,Paragraph
e,Arial-Black,32.040000915527344,0.0,1,1,0,0,0,0,0,0.1986325196545533,7,0,Paragraph
e,Arial-Black,32.040000915527344,0.25634765625,1,1,0,0,0,0,0,0.1989561909376972,8,0,Paragraph
equest f,Arial-Black,32.040000915527344,-0.25634765625,8,2,0,0,0,0,0,0.1986325196545533,9,0,Paragraph
quest f,Arial-Black,32.040000915527344,0.0,7,2,0,0,0,0,0,0.1986325196545533,10,0,Paragraph
quest f,Arial-Black,32.040000915527344,0.25634765625,7,2,0,0,0,0,0,0.1989561909376972,11,0,Paragraph
quest fo,Arial-Black,32.040000915527344,-0.25634765625,8,2,0,0,0,0,0,0.1986325196545533,12,0,Paragraph
o,Arial-Black,32.040000915527344,0.0,1,1,0,0,0,0,0,0.1986325196545533,13,0,Paragraph
o,Arial-Black,32.040000915527344,0.25634765625,1,1,0,0,0,0,0,0.1989561909376972,14,0,Paragraph
or Pr,Arial-Black,32.040000915527344,-0.25634765625,5,2,0,0,0,0,0,0.1986325196545533,15,0,Paragraph
r Pr,Arial-Black,32.040000915527344,0.0,4,2,0,0,0,0,0,0.1986325196545533,16,0,Paragraph
